0 formula(2) formula(3) formula(4) formula(5) formula(6)
1 0.00721696 0.00853139 0.000657214 2.58498e-05 2.93365e-06
2 0.00375076 0.00407704 0.000163143 1.54744e-06 4.00036e-08
3 0.00191337 0.00199479 4.0714e-05 9.57011e-08 6.05128e-10
4 0.000966508 0.000986856 1.0174e-05 5.96567e-09 9.37858e-12
5 0.000485753 0.000490839 2.54322e-06 3.72611e-10 1.45661e-13
6 0.000243507 0.000244778 6.35789e-07 2.32892e-11 3.08087e-15
7 0.000121912 0.000122229 1.58946e-07 1.44004e-12 1.80134e-14
8 6.09954e-05 6.10749e-05 3.97364e-08 9.9476e-14 1.23096e-14
9 3.05076e-05 3.05275e-05 9.93413e-09 1.89571e-14 2.84217e-14
10 1.52563e-05 1.52613e-05 2.48349e-09 5.68434e-14 6.44207e-14
11 7.62877e-06 7.63002e-06 6.20958e-10 1.13687e-13 1.36419e-13
12 3.81454e-06 3.81485e-06 1.55069e-10 2.27374e-13 2.72837e-13
13 1.90731e-06 1.90739e-06 3.91083e-11 4.54747e-13 5.45702e-13
14 9.53663e-07 9.53682e-07 9.09495e-12 9.09495e-13 1.09139e-12
15 4.7683e-07 4.76837e-07 3.63798e-12 1.81899e-12 2.18278e-12
16 2.38419e-07 2.38419e-07 0 1.21267e-12 1.45518e-12
17 1.19209e-07 1.19209e-07 0 0 4.85056e-13
18 5.96046e-08 5.96046e-08 0 0 0
19 2.98023e-08 2.98023e-08 0 0 0
20 1.49012e-08 1.49012e-08 0 0 0
21 7.45058e-09 7.45058e-09 0 0 0
